Rank,Address,NFT_Count,Token_IDs,Reward_VIBE,Share_Percent,Leaf
1,0x07eba7dff730f58e932c5730bad48e757e188fc3,2,"189;310",17130,0.9016%,0x6ba9857482cbf4a48058391831788879bdcb382d25bc8342dba639b9b1d8f83a
2,0x000596b446392533eac8fff0773c66ae57bc1d3f,1,"137",17117,0.9009%,0x6f9afe02d4a6aa87e308d81d992645ccb144f238dae745fe05b65e1387dcb57a
3,0x012c0bce561fbcb733f321e007c9b6d1e27785ed,1,"260",17117,0.9009%,0x779034ee9e5a8c059f1e10537a7570bda98086eec0f9a4481794367f424edffe
4,0x01fb3dfbd0661aa7ad086c01d3d7c9931b9d3dbe,1,"320",17117,0.9009%,0x920b02f54ec658a9d72e7e93a8fdaa2b655fea8da173cd265d8400e31ad3d194
5,0x09ed7f2f6dd73c90953bece6bca50c6ad9c4c374,1,"293",17117,0.9009%,0x46c0e90623d413088347664e244e4b042869fd49a28d9bd8c7494b5d4074d470
6,0x0aba8264321660d2c170bc77808d1f142881bac1,1,"205",17117,0.9009%,0xcc17158602e5497c3f4e76396efaf0337a4bd396d18df692e08ab34dca11bc4f
7,0x1761042b43590a755478d1325b6424885e6ab8b5,1,"294",17117,0.9009%,0xd4f169d94006580ec9cc118d56e7b5e5b2b6c5bb20fda41200285352f718526b
8,0x1b64e3f93397eeeb076defb5b922b97dee4d6996,1,"299",17117,0.9009%,0xfd4f986f532ae244b5057340c1869e8e5ba74b0772b48839a03d9a2b3a22fda0
9,0x1d741c45ec79162b5ed5ac81c0950dd80f83f300,1,"331",17117,0.9009%,0xfad49fa096162c3d2b4b55582e8599bf2587569835875b64094115b2794bee2c
10,0x1e75bbbd34ecf784b5cfacd484ebb30ce01cfaf4,1,"314",17117,0.9009%,0xead68de4d8085deaa6a7262b03308925217745c957c4be208d10229b09ee3272
11,0x1f1ec548b66a911e7d56422a729bb47a089fb927,1,"87",17117,0.9009%,0x96648623b39b12756092377423f1251fbd3d24c3625e4518afb1f3cda9bb7236
12,0x1fbdfbb325336a2058cffe82fef86d9ac7e9f438,1,"177",17117,0.9009%,0x5d95a729956556a43e088a8d8af5c9fdf5e8994a194b76e06001ec4c09e8d32a
13,0x2211d1d0020daea8039e46cf1367962070d77da9,1,"4",17117,0.9009%,0xeeb4b598fd584f03c66951efce45ceb0dea99f71d2e7575cda3fffb786d12c8d
14,0x29270c3ca483433e0a6d070db6ead349654b542d,1,"158",17117,0.9009%,0x0f7d2c26efae7aaadd496cfe6f43af79d3db61e926aa6dcbfc98c5f0f7af75bd
15,0x2975f2a48b62266ed835b6003f5bb37482479c1a,1,"65",17117,0.9009%,0xef1b9e30a82655fd41bb45905d8db2dea51f93044c98eb92ae89c897631719c9
16,0x2d4e1095a876afacfe1b84bc052758360641aae0,1,"210",17117,0.9009%,0x5b77e448f0f8de94e48e9d1736f4ecf6aadf8ef37cfa2ae29bace30ffe5c49d7
